Meshblock,201407,201408,201409,201410,201411,201412,201501,201502,201503,201504,201505,201506,201507,201508,201509,201510,201511,201512
0019900,,,,,,,1,,2,,,,,1,1,,,3
0020000,,,,,,,,,,,,,,,,,1,
0020200,,,,,,3,2,,2,1,,,,,,,1,
0020401,,,1,,,,,1,,,1,,,,1,,2,
0020402,,,,1,,1,,,,1,,,,,,,1,1
0020500,,,,,,,,,1,,,,,1,,,,
0021000,,,,,,,,,,,,1,,1,,,,
0021300,,,,,1,,,,,,,,,,,,,
0021400,,,,,,,,,,,3,,,,,,,
0022000,,,,,,,,2,,,,,,,1,,,
0022100,,,,,,1,,,,,,,,,,,,
0022300,,1,,,,,,,,,,,,,,,,
0022500,,1,,,,,,,,,,1,,2,,1,,
0022800,,,,,,,,,,,,,,1,,,,
0023100,,,,,,,,,,,,,1,,,,,
0023200,,,,,,,4,,,,,1,,,,,,
0023300,,,,,,,,,1,,,,,,1,,1,
0023600,,,,,,,,,,,,2,1,1,,,,
0023700,,,,1,,,,,,,,1,1,,,,,2
0023800,1,1,1,,,,,,,,,1,1,,,1,1,1
0023900,,,,,,,,,1,,,,,,,1,,1
0024000,,,,,,,,,,,,1,,,,,,1
0024100,,1,,,,,,,,,,,,,,,,
0024300,,,,,,,,,1,,,,,,,,,
0025200,,,,,1,,,,,,,,,,,,,
0025300,1,,,,,,1,,,,,,,,,2,,
0025800,,1,,,,,,,,,,,,,,,,
0025900,,4,1,,,,,,,,1,,,,3,2,,
0026002,3,1,,1,,,,,,,,,,1,1,,,1
0026202,2,,,3,,,2,,,,,,1,2,2,,,
0026302,,,,,,,,,,,,,1,,,,,
0026304,,,,,,,,,,,,,,,,,1,
0026600,,,,,,1,,,,,,,,,,,,1
0026700,1,,,,,,,,,,,,,,,,,
0026800,,,,,,,,,,,,,,,1,,,
0027000,1,,,,,,,,,,,,,,,,,
0027100,,,,,,,,,,,,,1,,,,,
0027400,,,,,2,,,,,,,,,,,2,,
0027500,,1,,,1,,,,,,,,,,,,,
0027800,,,,1,,,,,,,,,,,,1,,
0027900,,,,,,,,,,,,,,,,1,,
0028000,,,,,,,,,,,1,,,,,,,
0028100,,,,,,1,,,,1,,,,,,,,
0028202,,,,,,,,1,,,,1,,,,,,
0028600,,,,,,,,,,,,,,1,,,,1
0028800,,,,,,,,,,,,,,1,,,,
0028900,,,,,1,1,,,,,,,,,1,,,
0029000,,,,,,,,1,1,,,,,,,,,
0029101,,,,,,,,,,,,,,,,,1,
0029200,,,,,,,,,,,,,1,,,,,
0029500,,,,,,,,1,,,,,,,,,,
0029600,,,,,,,,,,,,,2,,,,,
0029800,,,,,,1,,,,,,,,,,,,
0030400,,,,,,,,,1,,,,,,,,,
